hash	pr	type	cp_status	nc_conflict	files	ins	del	author	category	confidence	conflict_files	title
16b3616ba80b	4401	squash	conflict	1	10	966	195	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/src/sdk/router/session-router.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,packages/coding-agent/test/sdk-session-router-authority.test.ts,scripts/telegram-daemon-generation-manifest.json	refactor(notifications): isolate Telegram failure authority (#4401)
b7e0dea98c07	4288	squash	conflict	1	12	2497	9	-	B	medium	packages/coding-agent/src/discovery/claude.ts,packages/coding-agent/src/discovery/codex.ts	feat(customization): add provenance-aware customization doctor (#4288)
4675bf072d45	4402	squash	conflict	1	5	262	37	nahyeongjin1	B	medium	packages/coding-agent/src/utils/herdr-pane.ts,packages/coding-agent/test/herdr-pane.test.ts	feat(herdr): report the gjc session title to the containing pane (#4402)
8d6784cb3743	4411	squash	changelog-only	2	7	203	0	Yeachan-Heo	A	high		fix(session): recover from managed transcript content_too_large (#4408) (#4411)
86e86070f842	4414	squash	conflict	0	3	660	4	Yeachan-Heo	B	medium	packages/coding-agent/src/cli/customize-doctor.ts	fix(customize): keep doctor settings inspection read-only (#4406) (#4414)
300e49dddf9d	4407	merge	conflict	0	12	489	436	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/chat-daemon-control.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/src/sdk/bus/topic-registry.ts,packages/coding-agent/src/sdk/router/session-router.ts,packages/coding-agent/test/notifications-rich-draft.test.ts,packages/coding-agent/test/notifications-telegram-daemon.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,packages/coding-agent/test/sdk-session-router-authority.test.ts,packages/coding-agent/test/sdk-telegram-fault-containment.test.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4407 from Yeachan-Heo/refactor/issue-4399-telegram-fault-containment
18039fee5192	4400	merge	conflict	2	6	775	14	Yeachan-Heo	B	medium	scripts/ci-dev-affected.test.ts,scripts/ci-dev-affected.ts	Merge pull request #4400 from Yeachan-Heo/fix/issue-4378-shard-isolation-followup
f1150c60378e	4418	squash	changelog-only	1	3	113	3	probepark	A	high		fix(ai): collapse adjacent thinking blocks before Anthropic replay (#4418)
1f87cf04891e	4415	squash	changelog-only	1	3	218	0	yazzang-homelab	A	high		fix(ai): reload the credential snapshot when an OAuth row vanishes (#4415)
ef4ce20a23d7	4425	squash	clean	0	4	392	4	Yeachan-Heo	A	high		fix(ai): collapse adjacent thinking blocks at Anthropic send boundary (#4416) (#4425)
515f1c7cb244	4421	squash	conflict	1	3	60	6	Yeachan-Heo	B	medium	packages/coding-agent/src/session/session-manager.ts	fix(session): recover missing managed transcripts (#4421)
628604d5b67e	4429	squash	changelog-only	1	4	114	6	Yeachan-Heo	A	high		feat(tui): support /theme <name> for immediate theme switching (#4429)
736302eac639	4428	merge	conflict	0	3	10	2	Yeachan-Heo	B	medium	scripts/run-bun-test-files.test.ts,scripts/run-bun-test-files.ts	Merge pull request #4428 from Yeachan-Heo/fix/issue-4378-shard-isolation-followup
429c7c54ce54	4405	squash	changelog-only	1	1	3	0	Yeachan-Heo	A	high		fix(notifications): bump chat daemon generations for shared Router lifecycle changes (#4401 postmerg
4e4f7ce84ca8	4410	squash	conflict	0	4	364	5	Yeachan-Heo	B	medium	scripts/telegram-daemon-generation-guard.test.ts,scripts/telegram-daemon-generation-guard.ts,scripts/telegram-daemon-generation-manifest.json	feat(ci): auto-repair daemon generation bumps from semantic guard changes (#4410)
0ca33b8532ea	4419	squash	changelog-only	1	3	129	2	chlee1001	A	high		fix(task): exclude exact MCP managers from subagents (#4419)
2d39e6d6df66	-	direct	changelog-only	1	15	3212	0	(direct)	A	medium		feat(setup): add gjc setup paseo to register GJC as a Paseo provider (replacement for #4417, credits
3354698b5339	4412	squash	noop	0	3	63	0	developjik	E	high		fix(coordinator-mcp): answer ping keepalive with empty result (#4412)
a7b487e58773	4420	squash	conflict	2	185	37	45739	-	B	medium	artifacts/session-gib-stress-source-bound-2026-08-10.json,artifacts/session-source-bound-computer-tests.xml,artifacts/session-source-bound-focused-tests.xml,artifacts/session-source-bound-report-render.txt,artifacts/session-source-bound-verification-receipt.json,artifacts/session-stress-analysis-handoff-2026-08-10.md,artifacts/session-stress-report-source-bound-2026-08-10.html,artifacts/vb001-gen5/computer-redteam-test-report.json	chore(repo): untrack artifacts/ and define test working space policy (#4420)
8eb8127e608b	4424	squash	clean	0	4	4	18	Yeachan-Heo	A	high		fix(tui): preserve images in terminal scrollback (#4424)
e02f6c5be93d	4427	squash	conflict	1	22	1854	176	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/session/session-manager.ts,packages/coding-agent/test/notifications-config.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,packages/coding-agent/test/sdk-host-wiring.test.ts,packages/coding-agent/test/setup-paseo.test.ts,scripts/telegram-daemon-generation-manifest.json,scripts/test-preload.ts	fix(sdk): detach chat-provider daemon ownership from session lifecycle (#4427)
c063212ab560	4438	merge	conflict	1	60	356	21240	Yeachan-Heo	E	high	docs/sdk-app-guide.md,docs/sdk.md,packages/coding-agent/src/sdk/bus/chat-daemon-control.ts,packages/coding-agent/src/sdk/bus/chat-daemon-runtime.ts,packages/coding-agent/src/sdk/bus/discord-daemon.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/src/session/session-manager.ts,packages/coding-agent/test/daemon-control.test.ts,packages/coding-agent/test/sdk-discord-daemon.test.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4438 from Yeachan-Heo/revert/master-runtime-4199
82593e8a51d8	4439	merge	clean	0	2	5	3	Yeachan-Heo	A	high		Merge pull request #4439 from Yeachan-Heo/fix/issue-4436-dev-baseline
745b8ba18f76	4441	merge	conflict	0	2	24	5	Yeachan-Heo	B	medium	packages/coding-agent/test/agent-session-coordinator-activity.test.ts	Merge pull request #4441 from Yeachan-Heo/fix/issue-4436-dev-baseline-followup
0bd4898d1845	4437	squash	clean	0	1	54	8	Bkankim	A	high		fix(natives): break_long_word infinite loop on lone ESC in over-width word (#4437)
dcdeb0e5fb37	4442	squash	conflict	1	3	8	4	Yeachan-Heo	B	medium	packages/ai/src/providers/transform-messages.ts,packages/ai/test/anthropic-thinking-immutability.test.ts	fix(ai): reconcile #4418 test/doc with #4425 send-boundary adjacency class (#4382) (#4442)
12e1df1724be	4292	squash	changelog-only	1	29	2632	78	-	A	medium		feat(mcp): support MCP 2026-07-28 stateless protocol (MCP v2) (#4292)
c8f60f988a0c	4447	merge	clean	0	4	32	12	Yeachan-Heo	A	high		Merge pull request #4447 from Yeachan-Heo/fix/issue-4436-dev-baseline-final
b5ef23f52208	4446	squash	changelog-only	2	7	102	6	larrabee-kor	A	high		fix(coding-agent): terminate completed print runs (#4446)
d2ac02f33272	4452	merge	clean	0	1	3	3	Yeachan-Heo	A	high		Merge pull request #4452 from Yeachan-Heo/fix/issue-4436-status-roots-runtime
ffa07d6c9bf2	4450	merge	conflict	0	2	96	2	laerad777	C	high	packages/coding-agent/src/session/internal/managed-session-storage.ts	Merge pull request #4450 from laerad777/fix/session-enoent-managed-predecessor
c06f4f5e70e3	4451	merge	changelog-only	2	9	316	25	Yeachan-Heo	A	high		Merge pull request #4451 from Yeachan-Heo/research/cpu-rss-optimization
91e98e678971	4455	merge	conflict	0	1	0	0	Yeachan-Heo	B	medium	packages/coding-agent/src/modes/components/status-line/segments.ts	Merge pull request #4455 from Yeachan-Heo/fix/issue-4436-status-home-precedence
a9481baf09b5	4449	merge	conflict	1	9	627	0	Yeachan-Heo	B	medium	packages/ai/src/providers/transform-messages.ts,packages/coding-agent/src/session/session-manager.ts	Merge pull request #4449 from Yeachan-Heo/feat/issue-4443-thinking-defense/worktree
6080b9831003	4453	merge	changelog-only	1	4	120	8	probepark	A	high		Merge pull request #4453 from Yeachan-Heo/fix/todo-write-positional-handle
0cecbaf81972	4372	merge	conflict	1	3	184	4	Yeachan-Heo	C	high	packages/coding-agent/test/notifications-session-switch.test.ts	Merge pull request #4372 from Yeachan-Heo/fix/telegram-daemon-does-not-rename-topic-properly
3d836d168698	4456	merge	conflict	0	10	73	24	Yeachan-Heo	B	medium	packages/coding-agent/src/config/settings.ts,packages/coding-agent/src/modes/components/status-line/segments.ts,packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/src/sdk/host/session-runtime.ts,packages/coding-agent/test/gajaessi-launcher-alias.test.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4456 from Yeachan-Heo/fix/dev-ci-31669328497
4a038bc0774a	4467	squash	conflict	0	1	0	0	Yeachan-Heo	B	medium	scripts/telegram-daemon-generation-manifest.json	fix(ci): regenerate telegram closure manifest after merge (#4467)
e3fb0332054f	4409	merge	conflict	0	9	1012	17	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4409 from Yeachan-Heo/fix/issue-4403-telegram-daemon-auto-reap
d2f6e8a4091a	4468	merge	changelog-only	1	25	1516	109	project-catsy	A	medium		Merge pull request #4468 from project-catsy/feat/pet-ouroboros
d659a0abfa76	-	direct	conflict	0	1	9	0	(direct)	B	low	packages/coding-agent/src/modes/components/settings-selector.ts	fix(theme): guard Settings theme commit with invalid-config check
0a736b17ece3	4470	squash	conflict	1	3	28	0	-	B	medium	packages/coding-agent/src/crash/index-store.ts,packages/coding-agent/test/crash-index-store.test.ts	fix(crash): stop compaction writing an index its own reader quarantines (#4470)
61f443d9bff0	4482	squash	conflict	0	2	8	7	Yeachan-Heo	B	medium	docs/bot-integration.md,docs/external-control-readiness.md	fix(docs): restore accurate removed-surface wording in bot integration docs (#4482)
f55c4d09390e	4460	merge	conflict	0	5	587	34	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4460 from Yeachan-Heo/fix/issue-4458-lean-settlement
7931cf6995a5	4484	squash	clean	0	2	167	0	Yeachan-Heo	A	high		fix(coordinator): isolate idempotency lock artifacts from record directory (#4484)
295d7801aa1b	4483	squash	changelog-only	1	3	368	11	Yeachan-Heo	A	high		fix(coordinator-mcp): narrow DR-1 post-close proof for incarnation-bound reap (#4483)
32269d8eb42a	4486	squash	changelog-only	1	6	58	5	Yeachan-Heo	A	high		fix(session): replace real-time settle sleeps with deterministic session settlement (#4476) (#4486)
bfde8643479c	3731	merge	conflict	1	31	6448	17	Yeachan-Heo	B	medium	packages/coding-agent/src/modes/acp/acp-agent.ts	Merge pull request #3731 from Yeachan-Heo/feat/codex-session-import-redo
be92463bab08	4465	squash	changelog-only	1	9	621	11	-	A	high		fix(subagent): observable await liveness + sleep smell warning (#4465)
cf07293f7404	4480	squash	conflict	0	8	1160	116	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/telegram-daemon-cli.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-orphan-reap.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/test/telegram-daemon-auto-reap.test.ts,scripts/telegram-daemon-generation-manifest.json	fix(notifications): #4403 acceptance successor — process-group reap, fail-closed CLI, watchdog recon
f0a44081afe3	4475	squash	conflict	1	9	1230	1104	-	B	medium	packages/coding-agent/test/manifests/sdk-adapter-parity-v1.json,packages/coding-agent/test/sdk-adapter-dispositions.test.ts	fix(test): split sdk-adapter-dispositions to stay under CI file-timeout (#4475)
65c6165937cb	4488	squash	conflict	0	2	15	0	Yeachan-Heo	B	medium	packages/coding-agent/test/config/settings-workflow-migration.test.ts	fix(test): isolate config-root probe env from harness and shadowed PI_CONFIG_DIR (#4474) (#4488)
a6a3974dcbb9	4485	merge	conflict	1	19	1165	0	Yeachan-Heo	C	high	packages/coding-agent/src/sdk/session.ts	Merge pull request #4485 from Yeachan-Heo/feat/issue-4448-master-session-supervisor
437d11d4a916	4492	merge	conflict	1	17	3473	0	Yeachan-Heo	B	medium	README.md	Merge pull request #4492 from Yeachan-Heo/feat/issue-4291-extensions-ui-import
50a787116a49	4493	squash	conflict	0	1	4	2	Yeachan-Heo	B	medium	packages/coding-agent/test/notifications-topic-registry.test.ts	fix(test): update stale DAEMON_GENERATION assertion 165→166 (#4403 postmerge) (#4493)
f1f9e4c7095c	4494	merge	conflict	0	2	3	13	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/protocol/operation-inventory.generated.json	Merge pull request #4494 from Yeachan-Heo/fix/pr-3731-postmerge-ci
cf29e8dc82f8	4491	merge	conflict	1	4	509	24	Yeachan-Heo	B	medium	packages/agent/test/agent-loop-escaped-nonascii-toolcall.test.ts	Merge pull request #4491 from Yeachan-Heo/fix/issue-4489-escaped-nonascii-resample-successor
e566cd2a1ee8	4462	merge	changelog-only	1	3	94	6	sskys18	A	high		Merge pull request #4462 from sskys18/feat/grok-build-4-6
f7b77e5785cc	-	direct	conflict	0	7	81	27	(direct)	B	low	packages/coding-agent/scripts/generate-sdk-operation-inventory.ts,packages/coding-agent/src/slash-commands/builtin-registry.ts,packages/coding-agent/test/extensions-command.test.ts	fix(sdk): classify extensions dashboard inventory seam
dfb1081c5372	4499	merge	conflict	0	6	373	29	thegreatesthoneybee	B	medium	packages/coding-agent/test/gajae-pet-widget.test.ts,packages/tui/src/components/gajae-pet.ts,packages/tui/test/gajae-pet.test.ts	Merge pull request #4499 from thegreatesthoneybee/feat/iterm2-gajae-pet
e4f4281ac80d	4496	squash	conflict	0	2	35	32	Yeachan-Heo	B	medium	packages/coding-agent/src/session/agent-session.ts	fix(session): redesign default-model-selection admission to avoid post-prompt deadlock (#4496)
7a6b0d1315a6	4495	merge	conflict	1	5	664	37	Yeachan-Heo	B	medium	packages/coding-agent/src/crash/index-store.ts,packages/coding-agent/src/crash/record-loader.ts,packages/coding-agent/test/crash-index-store.test.ts,packages/coding-agent/test/crash-record-loader.test.ts	Merge pull request #4495 from Yeachan-Heo/fix/issue-4478-crash-log-recovery
fb672eb1a8e4	4513	squash	clean	0	2	262	0	Yeachan-Heo	D	high		docs(customization): unify trust and import authority (#4507) (#4513)
ce6ba23bdd90	4510	squash	clean	0	1	23	2	-	D	high		test(session): coordinate Cursor split publication (#4510)
d69ec3523bb9	4511	merge	changelog-only	1	2	3	4	Yeachan-Heo	A	high		Merge pull request #4511 from Yeachan-Heo/fix/pr-4499-docs
3be6cd0e4e2d	4500	merge	conflict	0	7	586	13	Yeachan-Heo	B	medium	packages/agent/src/agent-loop.ts,packages/agent/test/agent-loop-escaped-nonascii-toolcall.test.ts,packages/ai/src/providers/mock.ts	Merge pull request #4500 from Yeachan-Heo/fix/issue-4489-escaped-nonascii-resample-successor
cbb358d20a49	4503	merge	conflict	0	4	72	5	Yeachan-Heo	B	medium	packages/coding-agent/src/task/index.ts	Merge pull request #4503 from Yeachan-Heo/fix/issue-4498-tool-catalog-order
7095fc894797	4423	merge	conflict	2	50	5389	766	Yeachan-Heo	B	medium	docs/custom-providers-and-multi-account.md,packages/ai/src/auth-storage.ts,packages/coding-agent/src/config/settings.ts,packages/coding-agent/src/sdk/session.ts,packages/coding-agent/src/slash-commands/helpers/usage-report.ts,packages/coding-agent/test/sdk-model-selection.test.ts	Merge pull request #4423 from Yeachan-Heo/feat/multi-account-setup
96e8f23ea808	4508	squash	clean	0	1	330	0	-	D	high		test(customization): add cross-convention consumption fixture (#4508)
2c12aebc1365	4517	merge	conflict	0	2	73	25	Yeachan-Heo	B	medium	packages/coding-agent/src/extensibility/hooks/loader.ts,packages/coding-agent/test/hook-event-normalization.test.ts	Merge pull request #4517 from Yeachan-Heo/fix/issue-4516-hook-authority
71c6cdf5d7dd	-	direct	conflict	1	3	17	14	(direct)	D	high	docs/customization.md,docs/hooks.md	docs(customization): align hook runtime authority
7121d19c72ba	4506	squash	conflict	1	6	91	11	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/broker/lifecycle.ts	fix(acp): preserve cleanup-pending delete authority (#4506)
e0c8a35aabcd	-	direct	conflict	0	3	41	10	(direct)	B	low	packages/coding-agent/src/extensibility/hooks/loader.ts,packages/coding-agent/src/sdk/session.ts,packages/coding-agent/test/hook-event-normalization.test.ts	fix(customization): wire explicit hook paths
01b370fba176	-	direct	clean	0	1	64	0	(direct)	A	medium		fix(ci): add trusted PR contract bootstrap
59ac14e7bd5a	4520	merge	conflict	0	1	103	52	Yeachan-Heo	B	medium	packages/coding-agent/test/issue-4508-cross-convention-fixture.test.ts	Merge pull request #4520 from Yeachan-Heo/test/issue-4508-cross-convention-fixture
38f3b4077c87	4481	squash	changelog-only	1	6	586	14	-	A	high		fix(tui): bound overlay geometry to stop main-thread spin (#4481)
